Hobby,Subtrait,Weight
프라모델/모형 조립,건물 모형 만들기,0.6
프라모델/모형 조립,전쟁 모형 만들기,0.5
레진 아트,주얼리 만들기,0.9
레진 아트,데코아트,0.8
레진 아트,가구 장식,0.7
레진 아트,소품 제작,0.6
레진 아트,아트 프레임 만들기,0.5
팝아트 초상화 그리기,캐릭터 그리기,0.9
팝아트 초상화 그리기,유명인사 그리기,0.8
팝아트 초상화 그리기,가족 그리기,0.7
팝아트 초상화 그리기,반려동물 그리기,0.6
팝아트 초상화 그리기,자기 초상화 그리기,0.5
민화 그리기,전통 민화 그리기,0.9
민화 그리기,현대 민화 그리기,0.8
민화 그리기,동물 민화 그리기,0.7
민화 그리기,사람 민화 그리기,0.6
민화 그리기,식물 민화 그리기,0.5
서예,행서,0.9
서예,명장 모사,0.8
서예,붓 미술,0.7
서예,전통 서체 연습,0.6
서예,현대 서체 연습,0.5
유리 공예,유리 조각 아트,0.9
유리 공예,유리 무늬 만들기,0.8
유리 공예,유리 조각 모자이크,0.7
유리 공예,유리 조각 가구 만들기,0.6
유리 공예,유리 그림 그리기,0.5
향수 만들기,자연 향료 사용,0.9
향수 만들기,향수 블렌딩,0.8
향수 만들기,향수 병 만들기,0.7
향수 만들기,개인화 향수 제작,0.6
향수 만들기,향수 브랜드 연구,0.5
퀼트/자수,패치워크,0.9
퀼트/자수,크로스 스티치,0.8
퀼트/자수,가정용품 만들기,0.7
퀼트/자수,옷 장식,0.6
퀼트/자수,패브릭 아트,0.5
디자인,그래픽 디자인,0.9
디자인,패션 디자인,0.8
디자인,인테리어 디자인,0.7
디자인,제품 디자인,0.6
디자인,캐릭터 디자인,0.5
어반 스케치,건물 그리기,0.9
어반 스케치,사람 그리기,0.8
어반 스케치,도시 풍경 그리기,0.7
어반 스케치,자연 풍경 그리기,0.6
어반 스케치,도시 일상 그리기,0.5
악기 연주,기타 연주,0.9
악기 연주,피아노 연주,0.8
악기 연주,드럼 연주,0.7
악기 연주,베이스 연주,0.6
악기 연주,바이올린 연주,0.5
노래 부르기/보컬 트레이닝,고음 연습,0.9
노래 부르기/보컬 트레이닝,저음 연습,0.8
콘서트/페스티벌 참여,라이브 공연,0.9
콘서트/페스티벌 참여,음악 감상,0.8
콘서트/페스티벌 참여,페스티벌 분위기,0.7
콘서트/페스티벌 참여,아티스트 만나기,0.6
콘서트/페스티벌 참여,팬 활동,0.5
디제잉 (DJing),음악 믹싱,0.9
디제잉 (DJing),비트 매칭,0.8
디제잉 (DJing),턴테이블,0.7
디제잉 (DJing),클럽 문화,0.6
디제잉 (DJing),음악 장르 탐색,0.5
버스킹 (길거리 공연),공연 기획,0.9
버스킹 (길거리 공연),재능 기부,0.8
버스킹 (길거리 공연),관중 소통,0.7
버스킹 (길거리 공연),타인의 반응,0.6
버스킹 (길거리 공연),새로운 공간 탐색,0.5
우표 수집,우표 디자인,0.9
우표 수집,우표의 역사,0.8
우표 수집,우표 가치,0.7
우표 수집,국제 우표,0.6
우표 수집,우표 거래,0.5
화폐/주화 수집,화폐 디자인,0.9
화폐/주화 수집,화폐의 역사,0.8
화폐/주화 수집,화폐 가치,0.7
화폐/주화 수집,국제 화폐,0.6
화폐/주화 수집,화폐 거래,0.5
피규어/인형 수집,피규어 디자인,0.9
피규어/인형 수집,피규어 브랜드,0.8
피규어/인형 수집,피규어 가치,0.7
피규어/인형 수집,피규어 전시,0.6
피규어/인형 수집,피규어 거래,0.5
레코드/LP 수집,레코드 디자인,0.9
레코드/LP 수집,레코드의 역사,0.8
레코드/LP 수집,레코드 가치,0.7
레코드/LP 수집,아티스트 레코드,0.6
레코드/LP 수집,레코드 거래,0.5
"책 수집 (고서, 특정 작가 등)",책의 내용,0.9
"책 수집 (고서, 특정 작가 등)",작가의 역사,0.8
"책 수집 (고서, 특정 작가 등)",책의 가치,0.7
"책 수집 (고서, 특정 작가 등)",특정 작가의 책,0.6
"책 수집 (고서, 특정 작가 등)",책 거래,0.5
아트 토이 수집,아트 토이 디자인,0.9
아트 토이 수집,아트 토이 브랜드,0.8
아트 토이 수집,아트 토이 가치,0.7
아트 토이 수집,아트 토이 전시,0.6
아트 토이 수집,아트 토이 거래,0.5
빈티지 소품/의류 수집,빈티지 스타일,0.9
빈티지 소품/의류 수집,빈티지 가치,0.8
빈티지 소품/의류 수집,빈티지 브랜드,0.7
빈티지 소품/의류 수집,빈티지 거래,0.6
빈티지 소품/의류 수집,빈티지 트렌드,0.5
자동차/오토바이 모형 수집,모델링,0.9
자동차/오토바이 모형 수집,브랜드 가치,0.8
자동차/오토바이 모형 수집,디테일,0.7
드론 조종 및 촬영,비행기술,0.9
드론 조종 및 촬영,영상촬영,0.8
드론 조종 및 촬영,드론 제작,0.7
드론 조종 및 촬영,드론 경주,0.6
드론 조종 및 촬영,드론 수리,0.5
VR/AR 체험,가상현실,0.9
VR/AR 체험,증강현실,0.8
VR/AR 체험,시뮬레이션,0.7
VR/AR 체험,VR/AR 기기,0.6
VR/AR 체험,VR/AR 컨텐츠,0.5
스마트 기기 활용/탐구,기기설치,0.9
스마트 기기 활용/탐구,앱 활용,0.8
스마트 기기 활용/탐구,기기연결,0.7
스마트 기기 활용/탐구,IoT,0.6
스마트 기기 활용/탐구,기기 수리,0.5
3D 프린팅,모델링,0.9
3D 프린팅,소재선택,0.8
3D 프린팅,출력설정,0.7
3D 프린팅,후가공,0.6
3D 프린팅,테스트 및 평가,0.5
로봇 제작/코딩,로봇설계,0.9
로봇 제작/코딩,부품선택,0.8
로봇 제작/코딩,조립,0.7
로봇 제작/코딩,코딩,0.6
로봇 제작/코딩,테스트 및 평가,0.5
외국어 공부,문법공부,0.9
외국어 공부,어휘공부,0.8
외국어 공부,듣기연습,0.7
외국어 공부,말하기연습,0.6
외국어 공부,글쓰기연습,0.5
독서,장르선택,0.9
독서,독서량 관리,0.8
독서,내용토론,0.7
독서,서평작성,0.6
독서,도서관 이용,0.5
와인/맥주/커피 등 시음회 및 스터디 모임,품평,0.9
와인/맥주/커피 등 시음회 및 스터디 모임,세미나,0.8
와인/맥주/커피 등 시음회 및 스터디 모임,시음회,0.7
와인/맥주/커피 등 시음회 및 스터디 모임,브랜드 연구,0.6
와인/맥주/커피 등 시음회 및 스터디 모임,향미 탐색,0.5
친목 모임/정기 모임,친목 도모,0.9
친목 모임/정기 모임,정보 교환,0.8
친목 모임/정기 모임,소통,0.7
친목 모임/정기 모임,네트워킹,0.6
친목 모임/정기 모임,팀워크,0.5
온라인 커뮤니티 활동,정보 공유,0.9
온라인 커뮤니티 활동,토론,0.8
온라인 커뮤니티 활동,소통,0.7
온라인 커뮤니티 활동,컨텐츠 제작,0.6
온라인 커뮤니티 활동,온라인 네트워킹,0.5
언어 교환 모임,언어 학습,0.9
언어 교환 모임,커뮤니케이션,0.8
언어 교환 모임,문화 이해,0.7
언어 교환 모임,네트워킹,0.6
언어 교환 모임,공부 모임,0.5
여행 동호회 활동,여행 계획,0.9
여행 동호회 활동,정보 공유,0.8
여행 동호회 활동,경험 공유,0.7
여행 동호회 활동,문화 이해,0.6
여행 동호회 활동,친목 도모,0.5
명상/마음 챙김,자아 반성,0.9
명상/마음 챙김,힐링,0.8
명상/마음 챙김,마음의 안정,0.7
명상/마음 챙김,마음의 평화,0.6
명상/마음 챙김,스트레스 해소,0.5
아로마테라피,힐링,0.9
아로마테라피,향기의 이해,0.8
아로마테라피,스트레스 해소,0.7
아로마테라피,마음의 안정,0.6
아로마테라피,체질 개선,0.5
스파/사우나/찜질방 가기,힐링,0.9
스파/사우나/찜질방 가기,건강 관리,0.8
스파/사우나/찜질방 가기,스트레스 해소,0.7
스파/사우나/찜질방 가기,친목 도모,0.6
스파/사우나/찜질방 가기,휴식,0.5
차(Tea) 마시기/다도,힐링,0.9
차(Tea) 마시기/다도,차의 이해,0.8
차(Tea) 마시기/다도,다도,0.7
차(Tea) 마시기/다도,차 문화,0.6
차(Tea) 마시기/다도,향미 탐색,0.5
조용한 음악 감상,힐링,0.9
조용한 음악 감상,음악의 이해,0.8
조용한 음악 감상,감성 촉진,0.7
조용한 음악 감상,창작 활동,0.6
조용한 음악 감상,음악 스터디,0.5
자연 속 산책/멍때리기,힐링,0.9
자연 속 산책/멍때리기,건강 관리,0.8
자연 속 산책/멍때리기,명상,0.7
자연 속 산책/멍때리기,자연 관찰,0.6
자연 속 산책/멍때리기,스트레스 해소,0.5
요리 명상 (과정에 집중),명상,0.9
요리 명상 (과정에 집중),요리의 이해,0.
수제청/잼 만들기,레시피 개발,0.9
수제청/잼 만들기,천연재료 사용,0.8
수제청/잼 만들기,배합 비율 실험,0.7
수제청/잼 만들기,저장과 보존,0.6
수제청/잼 만들기,맛 테스트,0.5
캠핑/백패킹,장비 준비,0.9
캠핑/백패킹,캠프파이어 만들기,0.8
캠핑/백패킹,자연 탐사,0.7
캠핑/백패킹,생존 기술 학습,0.6
캠핑/백패킹,야외 요리,0.5
차박,차량 관리 및 준비,0.9
차박,주행 경로 계획,0.8
차박,안전 및 비상 준비,0.7
차박,차량 내 인테리어,0.6
차박,차량에서의 생활 루틴,0.5
피크닉,샌드위치 등 음식 준비,0.9
피크닉,피크닉 장소 선정,0.8
피크닉,피크닉 물품 준비,0.7
피크닉,야외 게임,0.6
피크닉,날씨 체크,0.5
공원 나들이,공원 정보 수집,0.9
공원 나들이,산책,0.8
공원 나들이,동물 관찰,0.7
공원 나들이,피크닉,0.6
공원 나들이,휴식 및 독서,0.5
별 관측,망원경 사용법,0.9
별 관측,별자리 이해,0.8
별 관측,천문학 지식 학습,0.7
별 관측,사진 촬영,0.6
별 관측,날씨 및 시간 선택,0.5
텃밭 가꾸기/주말 농장,식물 선택,0.9
텃밭 가꾸기/주말 농장,물주기 및 비료 관리,0.8
텃밭 가꾸기/주말 농장,잡초 제거,0.7
텃밭 가꾸기/주말 농장,병충해 관리,0.6
텃밭 가꾸기/주말 농장,수확과 가공,0.5
곤충 채집/관찰,채집 기구 준비,0.9
곤충 채집/관찰,곤충 종류 이해,0.8
곤충 채집/관찰,동물 보호 법률 이해,0.7
곤충 채집/관찰,관찰 일기 작성,0.6
곤충 채집/관찰,사진 촬영 및 기록,0.5
조류 관찰,새 종류 이해,0.9
조류 관찰,새의 행동 관찰,0.8
조류 관찰,새의 서식지 이해,0.7
조류 관찰,새 사진 촬영,0.6
조류 관찰,관찰 일기 작성,0.5
지질 탐사/암석 수집,암석 종류 이해,0.9
지질 탐사/암석 수집,지질 지식 학습,0.8
지질 탐사/암석 수집,암석 채집,0.7
지질 탐사/암석 수집,암석 감상 및 전시,0.6
지질 탐사/암석 수집,암석 정보 기록,0.5
국내 여행,도시 탐방,0.9
국내 여행,자연 탐사,0.8
국내 여행,문화 유적 탐방,0.7
국내 여행,사진 촬영,0.6
국내 여행,여행 일기 작성,0.5
해외 여행,언어 학습,0.9
해외 여행,비자 준비,0.8
해외 여행,문화 이해,0.7
해외 여행,여행 경로 계획,0.6
해외 여행,사진 촬영,0.5
기차 여행,기차 시간표 확인,0.9
기차 여행,창밖 풍경 감상,0.8
마술 배우기,카드마술,0.9
마술 배우기,동전마술,0.8
마술 배우기,사라지는 마술,0.7
마술 배우기,마술용품 만들기,0.6
마술 배우기,마술 트릭 연습,0.5
성우 연기/더빙 연습,애니메이션 더빙,0.9
성우 연기/더빙 연습,영화 더빙,0.8
성우 연기/더빙 연습,게임 더빙,0.7
성우 연기/더빙 연습,성우 연기 스킬 연습,0.6
성우 연기/더빙 연습,성우 스크립트 연습,0.5
이모티콘 만들기,이모티콘 디자인,0.9
이모티콘 만들기,캐릭터 만들기,0.8
이모티콘 만들기,이모티콘 판매,0.7
이모티콘 만들기,이모티콘 마케팅,0.6
이모티콘 만들기,이모티콘 피드백 수집,0.5
보석 십자수,십자수 디자인,0.9
보석 십자수,보석 선택,0.8
보석 십자수,십자수 패턴 만들기,0.7
보석 십자수,보석 십자수 기법,0.6
보석 십자수,보석 십자수 작품 완성,0.5
퍼즐 맞추기 (직소 퍼즐),퍼즐 조각 맞추기,0.9
퍼즐 맞추기 (직소 퍼즐),퍼즐 조각 정리,0.8
퍼즐 맞추기 (직소 퍼즐),퍼즐 이미지 완성,0.7
퍼즐 맞추기 (직소 퍼즐),퍼즐 보관,0.6
퍼즐 맞추기 (직소 퍼즐),퍼즐 공유,0.5
점토 공예 (클레이 아트),점토 조각 만들기,0.9
점토 공예 (클레이 아트),점토 구조 만들기,0.8
점토 공예 (클레이 아트),점토 색칠,0.7
점토 공예 (클레이 아트),점토 아트 완성,0.6
점토 공예 (클레이 아트),점토 아트 전시,0.5
"반려 동물 관련 활동 (훈련, 미용, 수제 간식 만들기)",반려동물 훈련,0.9
"반려 동물 관련 활동 (훈련, 미용, 수제 간식 만들기)",반려동물 미용,0.8
"반려 동물 관련 활동 (훈련, 미용, 수제 간식 만들기)",수제 간식 만들기,0.7
"반려 동물 관련 활동 (훈련, 미용, 수제 간식 만들기)",반려동물 건강 관리,0.6
"반려 동물 관련 활동 (훈련, 미용, 수제 간식 만들기)",반려동물 용품 쇼핑,0.5
홈 인테리어/집 꾸미기,가구 배치,0.9
홈 인테리어/집 꾸미기,색상 조화,0.8
홈 인테리어/집 꾸미기,집 수리,0.7
홈 인테리어/집 꾸미기,홈 디코 아이템 선택,0.6
홈 인테리어/집 꾸미기,인테리어 트렌드 파악,0.5
블로그/SNS 운영 (특정 주제),컨텐츠 기획,0.9
블로그/SNS 운영 (특정 주제),컨텐츠 제작,0.8
블로그/SNS 운영 (특정 주제),컨텐츠 업로드,0.7
블로그/SNS 운영 (특정 주제),피드백 수집 및 분석,0.6
컬링,얼음 위의 전략,0.9
컬링,팀워크,0.8
컬링,스윕핑 기술,0.7
컬링,집중력,0.6
컬링,정확한 판단력,0.5
아이스 스케이팅,미끄러짐 제어,0.9
아이스 스케이팅,균형 감각,0.8
아이스 스케이팅,우아한 동작,0.7
아이스 스케이팅,체력,0.6
아이스 스케이팅,속도 조절,0.5
크로스핏,근력,0.9
크로스핏,체력,0.8
크로스핏,유연성,0.7
크로스핏,통증 인내력,0.6
크로스핏,건강한 식습관,0.5
폴 댄스,유연성,0.9
폴 댄스,손 힘,0.8
폴 댄스,균형 잡힌 몸매,0.7
폴 댄스,세련된 동작,0.6
폴 댄스,자신감,0.5
에어로빅,리듬 감각,0.9
에어로빅,체력,0.8
에어로빅,유연성,0.7
에어로빅,가벼운 발놀림,0.6
에어로빅,기분 전환,0.5
줌바 댄스,리듬 감각,0.9
줌바 댄스,에너지,0.8
줌바 댄스,즐거움,0.7
줌바 댄스,체력,0.6
줌바 댄스,스트레스 해소,0.5
택견,기술,0.9
택견,속도,0.8
택견,힘,0.7
택견,집중력,0.6
택견,의지력,0.5
합기도,자기 방어,0.9
합기도,기술,0.8
합기도,집중력,0.7
합기도,인내력,0.6
합기도,정신력,0.5
주짓수,기술,0.9
주짓수,힘,0.8
주짓수,유연성,0.7
주짓수,지구력,0.6
주짓수,인내력,0.5
조정,팀워크,0.9
조정,체력,0.8
조정,집중력,0.7
조정,균형 감각,0.6
조정,정확한 판단력,0.5
카누/카약,체력,0.9
카누/카약,균형 감각,0.8
카누/카약,자연 친화적,0.7
카누/카약,물 위의 전략,0.6
카누/카약,우아한 동작,0.5
트램폴린 피트니스,균형 감각,0.9
트램폴린 피트니스,유연성,0.8
트램폴린 피트니스,체력,0.7
트램폴린 피트니스,두뇌 활성화,0.6
트램폴린 피트니스,기분 전환,0.5
산악자전거(MTB),체력,0.9
산악자전거(MTB),도전 정신,0.8
산악자전거(MTB),공포 극복,0.7
산악자전거(MTB),균형 감각,0.6
산악자전거(MTB),자연 친화적,0.5
족구,팀워크,0.9
족구,체력,0.8
족구,정확한 판단력,0.7
족구,속도,0.6
족구,기분 전환,0.5
게이트볼,팀워크,0.9
게이트볼,전략적 사고,0.8
게이트볼,정확한 판단력,0.7
게이트볼,집중력,0.6
게이트볼,친목 도모,0.5
플라잉 요가,유연성,0.9
플라잉 요가,균형 감각,0
냅킨 아트,디자인 능력,0.9
냅킨 아트,장식 적용,0.8
냅킨 아트,종이 접기 기법,0.7
냅킨 아트,테이블 세팅,0.6
냅킨 아트,디테일,0.5
터프팅 (러그 만들기),능직 기술,0.9
터프팅 (러그 만들기),디자인 능력,0.8
터프팅 (러그 만들기),색상 조합,0.7
터프팅 (러그 만들기),손재주,0.6
터프팅 (러그 만들기),창의력,0.5
북 아트/북 바인딩,장인정신,0.9
북 아트/북 바인딩,종이 다루기,0.8
북 아트/북 바인딩,디자인 능력,0.7
북 아트/북 바인딩,바인딩 기술,0.6
북 아트/북 바인딩,인내심,0.5
파티 용품 만들기,디자인 능력,0.9
파티 용품 만들기,창의력,0.8
파티 용품 만들기,소재 이해,0.7
파티 용품 만들기,컬러 매치,0.6
파티 용품 만들기,테마 구성,0.5
코스튬/코스프레 의상 제작,디자인 능력,0.9
코스튬/코스프레 의상 제작,재봉 기술,0.8
코스튬/코스프레 의상 제작,캐릭터 이해,0.7
코스튬/코스프레 의상 제작,창의력,0.6
코스튬/코스프레 의상 제작,세부 디테일,0.5
미니어처 음식 만들기,디테일,0.9
미니어처 음식 만들기,조형 능력,0.8
미니어처 음식 만들기,색상 조합,0.7
미니어처 음식 만들기,재료 이해,0.6
미니어처 음식 만들기,손재주,0.5
스테인드 글라스 공예,디자인 능력,0.9
스테인드 글라스 공예,글라스 컷팅,0.8
스테인드 글라스 공예,색상 조합,0.7
스테인드 글라스 공예,조립 기술,0.6
스테인드 글라스 공예,안전 지식,0.5
전각 (도장 새기기),장인정신,0.9
전각 (도장 새기기),세밀함,0.8
전각 (도장 새기기),디자인 능력,0.7
전각 (도장 새기기),손재주,0.6
전각 (도장 새기기),인내심,0.5
섬유 염색 (홀치기 염색 등),색상 이해,0.9
섬유 염색 (홀치기 염색 등),섬유 이해,0.8
섬유 염색 (홀치기 염색 등),물질 이해,0.7
섬유 염색 (홀치기 염색 등),실험적 사고,0.6
섬유 염색 (홀치기 염색 등),창의력,0.5
페이퍼 커팅 아트,디자인 능력,0.9
페이퍼 커팅 아트,절삭 기술,0.8
페이퍼 커팅 아트,종이 이해,0.7
페이퍼 커팅 아트,창의력,0.6
페이퍼 커팅 아트,세밀함,0.5
위빙/직조,장인정신,0.9
위빙/직조,섬유 이해,0.8
위빙/직조,디자인 능력,0.7
위빙/직조,기계 사용,0.6
위빙/직조,인내심,0.5
모자이크 아트,디자인 능력,0.9
모자이크 아트,조각 기술,0.8
모자이크 아트,색상 조합,0.7
모자이크 아트,조립 기술,0.6
모자이크 아트,재료 이해,0.5
클래식 음악 심화 감상,작곡가 연구,0.9
클래식 음악 심화 감상,음악이론 분석,0.8
클래식 음악 심화 감상,악기별 이해,0.7
클래식 음악 심화 감상,공연 감상,0.6
클래식 음악 심화 감상,녹음본 수집,0.5
밴드 활동 (연주자 모집 등),악기 연습,0.9
밴드 활동 (연주자 모집 등),곡 작곡,0.8
밴드 활동 (연주자 모집 등),공연 준비,0.7
밴드 활동 (연주자 모집 등),모임 조정,0.6
밴드 활동 (연주자 모집 등),장비 관리,0.5
아카펠라 그룹 활동,음정 조절,0.9
아카펠라 그룹 활동,곡 연습,0.8
아카펠라 그룹 활동,공연 준비,0.7
아카펠라 그룹 활동,화음 조율,0.6
아카펠라 그룹 활동,팀워크 조정,0.5
퍼포먼스 아트 기획/참여,아이디어 구상,0.9
퍼포먼스 아트 기획/참여,재료 준비,0.8
퍼포먼스 아트 기획/참여,연출 기획,0.7
퍼포먼스 아트 기획/참여,리허설,0.6
퍼포먼스 아트 기획/참여,퍼포먼스 참여,0.5
연기 스터디/워크숍 참여,역할 분석,0.9
연기 스터디/워크숍 참여,연기 연습,0.8
연기 스터디/워크숍 참여,감정 표현 연습,0.7
연기 스터디/워크숍 참여,스크립트 리딩,0.6
연기 스터디/워크숍 참여,피드백 반영,0.5
마임 배우기,몸짓 연습,0.9
마임 배우기,표정 연습,0.8
마임 배우기,공간 인식,0.7
마임 배우기,공연 준비,0.6
마임 배우기,팀워크,0.5
앤틱 가구 수집,품질 판별,0.9
앤틱 가구 수집,가격 협상,0.8
앤틱 가구 수집,가구 배치,0.7
앤틱 가구 수집,수집품 관리,0.6
앤틱 가구 수집,시장 탐색,0.5
만화책/그래픽 노블 수집,작품 선별,0.9
만화책/그래픽 노블 수집,작가 연구,0.8
만화책/그래픽 노블 수집,장르 분석,0.7
만화책/그래픽 노블 수집,화보 수집,0.6
만화책/그래픽 노블 수집,수집품 관리,0.5
영화 포스터/굿즈 수집,영화 분석,0.9
영화 포스터/굿즈 수집,포스터 선별,0.8
영화 포스터/굿즈 수집,수집품 관리,0.7
영화 포스터/굿즈 수집,시장 탐색,0.6
영화 포스터/굿즈 수집,굿즈 수집,0.5
"스포츠 기념품 수집 (사인볼, 유니폼 등)",선수 연구,0.9
"스포츠 기념품 수집 (사인볼, 유니폼 등)",기념품 선별,0.8
"스포츠 기념품 수집 (사인볼, 유니폼 등)",시장 탐색,0.7
"스포츠 기념품 수집 (사인볼, 유니폼 등)",가격 협상,0.6
"스포츠 기념품 수집 (사인볼, 유니폼 등)",수집품 관리,0.5
게임 개발/기획 스터디,프로그래밍,0.9
게임 개발/기획 스터디,게임 디자인,0.8
게임 개발/기획 스터디,팀 워크,0.7
게임 개발/기획 스터디,문제 해결,0.6
게임 개발/기획 스터디,창의성,0.5
앱 아이디어 구상 및 개발,아이디어 제안,0.9
앱 아이디어 구상 및 개발,프로그래밍,0.8
앱 아이디어 구상 및 개발,UI/UX 디자인,0.7
앱 아이디어 구상 및 개발,테스트 및 디버깅,0.6
앱 아이디어 구상 및 개발,시장 연구,0.5
웹사이트/블로그 직접 만들기 (코딩),HTML/CSS,0.9
웹사이트/블로그 직접 만들기 (코딩),JavaScript,0.8
웹사이트/블로그 직접 만들기 (코딩),웹 디자인,0.7
웹사이트/블로그 직접 만들기 (코딩),컨텐츠 관리,0.6
웹사이트/블로그 직접 만들기 (코딩),시장 연구,0.5
컴퓨터 하드웨어 조립/튜닝,하드웨어 지식,0.9
컴퓨터 하드웨어 조립/튜닝,문제 해결,0.8
컴퓨터 하드웨어 조립/튜닝,세밀함,0.7
컴퓨터 하드웨어 조립/튜닝,기술적 능력,0.6
컴퓨터 하드웨어 조립/튜닝,안전 지식,0.5
홈 네트워크/서버 구축,네트워크 지식,0.9
홈 네트워크/서버 구축,문제 해결,0.8
홈 네트워크/서버 구축,기술적 능력,0.7
홈 네트워크/서버 구축,프로젝트 관리,0.6
홈 네트워크/서버 구축,보안 지식,0.5
데이터 분석/시각화 공부,통계 지식,0.9
데이터 분석/시각화 공부,프로그래밍,0.8
